"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"UK3CB_CHC_B_U_WOOD_02","Clothes Woodlander (Green / Khaki)"
"UK3CB_CHC_B_U_WOOD_03","Clothes Woodlander (Tan / TTsKO)"
"UK3CB_CHC_B_U_WOOD_04","Clothes Woodlander (Black / Green)"
"UK3CB_CHC_B_U_WORK_01","Casual Clothes Waistcoat (Sand)"
"UK3CB_CHC_B_U_WORK_02","Casual Clothes Waistcoat (Green)"
"UK3CB_CHC_B_U_WORK_03","Casual Clothes Waistcoat (Blue)"
"UK3CB_CHC_B_U_WORK_04","Casual Clothes Waistcoat (Brown Check)"
"UK3CB_CHC_B_H_Can_Cap","Cap (Campaign Slogan)"
"UK3CB_CHC_C_U_ACTIVIST_01","Casual Clothes Jacket & Jumper (Cream)"
"UK3CB_CHC_C_U_ACTIVIST_02","Casual Clothes Jacket & Jumper (Red)"
"UK3CB_CHC_C_U_ACTIVIST_03","Casual Clothes Jacket & Jumper (Blue)"
"UK3CB_CHC_C_U_ACTIVIST_04","Casual Clothes Jacket & Jumper (Green)"
"UK3CB_CHC_C_U_BODYG_01","Clothes Bodyguard Suit (Black)"
"UK3CB_CHC_C_U_CAN_01","Casual Clothes Shirt & Tie (Purple)"
"UK3CB_CHC_C_U_CIT_01","Casual Clothes Jacket (Brown)"
"UK3CB_CHC_C_U_CIT_02","Casual Clothes Jacket (Light Brown)"
"UK3CB_CHC_C_U_CIT_03","Casual Clothes Jacket (Tan)"
"UK3CB_CHC_C_U_CIT_04","Casual Clothes Jacket (Dark Brown)"
"UK3CB_CHC_C_U_COACH_01","Casual Clothes Tracksuit (Blue)"
"UK3CB_CHC_C_U_COACH_02","Casual Clothes Tracksuit (Yellow)"
"UK3CB_CHC_C_U_COACH_03","Casual Clothes Tracksuit (Green)"
"UK3CB_CHC_C_U_COACH_04","Casual Clothes Tracksuit (Black)"
"UK3CB_CHC_C_U_COACH_05","Casual Clothes Tracksuit (Red)"
"UK3CB_CHC_C_U_DOC_01","Clothes Doctor Coat (White)"
"UK3CB_CHC_C_U_DOC_02","Clothes Doctor Coat (Navy)"
"UK3CB_CHC_C_U_DOC_03","Clothes Doctor Coat (Light Blue)"
"UK3CB_CHC_C_U_FUNC_01","Clothes Functionary Suit (Black)"
"UK3CB_CHC_C_U_FUNC_02","Clothes Functionary Suit (Brown)"
"UK3CB_CHC_C_U_HIKER_01","Casual Clothes Hiker (Red / Blue)"
"UK3CB_CHC_C_U_HIKER_02","Casual Clothes Hiker (Green / Red)"
"UK3CB_CHC_C_U_HIKER_03","Casual Clothes Hiker (Blue / Green)"
"UK3CB_CHC_C_U_HIKER_04","Casual Clothes Hiker (Flecktarn)"
"UK3CB_CHC_C_U_PRIEST_01","Clothes Priest Robe (Black)"
"UK3CB_CHC_C_U_PRIEST_02","Clothes Priest Robe (Red)"
"UK3CB_CHC_C_U_PRIEST_03","Clothes Priest Robe (Purple)"
"UK3CB_CHC_C_U_Overall_01","Clothes Overalls (Black)"
"UK3CB_CHC_C_U_Overall_02","Clothes Overalls (Blue)"
"UK3CB_CHC_C_U_Overall_03","Clothes Overalls (Tan)"
"UK3CB_CHC_C_U_Overall_04","Clothes Overalls (Red)"
"UK3CB_CHC_C_U_Overall_05","Clothes Overalls (Grey)"
"UK3CB_CHC_C_U_Pilot_01","Clothes Pilot [A3PowPot] (Blue)"
"UK3CB_CHC_C_U_Pilot_02","Clothes Pilot [A3PowPot] (Tan)"
"UK3CB_CHC_C_U_Pilot_03","Clothes Pilot [A3PowPot] (Black)"
"UK3CB_CHC_C_U_POLITIC_01","Clothes Politician Suit & Tie (Black / Blue)"
"UK3CB_CHC_C_U_POLITIC_02","Clothes Politician Suit & Tie (Black / Red)"
"UK3CB_CHC_C_U_POLITIC_03","Clothes Politician Suit & Tie (Black / Green)"
"UK3CB_CHC_C_U_PROF_01","Casual Suit Jacket (Grey)"
"UK3CB_CHC_C_U_PROF_02","Casual Suit Jacket (Navy)"
"UK3CB_CHC_C_U_PROF_03","Casual Suit Jacket (Brown)"
"UK3CB_CHC_C_U_PROF_04","Casual Suit Jacket (Brown Check)"
"UK3CB_CHC_C_U_VILL_01","Clothes Villager (Blue Check)"
"UK3CB_CHC_C_U_VILL_02","Clothes Villager (Yellow Check)"
"UK3CB_CHC_C_U_VILL_03","Clothes Villager (Green)"
"UK3CB_CHC_C_U_VILL_04","Clothes Villager (Light Blue)"
"UK3CB_CHC_C_U_WOOD_01","Clothes Woodlander (Brown / Blue)"
"UK3CB_CHC_C_U_WOOD_02","Clothes Woodlander (Green / Khaki)"
"UK3CB_CHC_C_U_WOOD_03","Clothes Woodlander (Tan / TTsKO)"
"UK3CB_CHC_C_U_WOOD_04","Clothes Woodlander (Black / Green)"
"UK3CB_CHC_C_U_WORK_01","Casual Clothes Waistcoat (Sand)"
"UK3CB_CHC_C_U_WORK_02","Casual Clothes Waistcoat (Green)"
"UK3CB_CHC_C_U_WORK_03","Casual Clothes Waistcoat (Blue)"
"UK3CB_CHC_C_U_WORK_04","Casual Clothes Waistcoat (Brown Check)"
"UK3CB_CHC_C_H_Can_Cap","Cap (Campaign Slogan)"
"UK3CB_CHC_I_U_ACTIVIST_01","Casual Clothes Jacket & Jumper (Cream)"
"UK3CB_CHC_I_U_ACTIVIST_02","Casual Clothes Jacket & Jumper (Red)"
"UK3CB_CHC_I_U_ACTIVIST_03","Casual Clothes Jacket & Jumper (Blue)"
"UK3CB_CHC_I_U_ACTIVIST_04","Casual Clothes Jacket & Jumper (Green)"
"UK3CB_CHC_I_U_BODYG_01","Clothes Bodyguard Suit (Black)"
"UK3CB_CHC_I_U_CAN_01","Casual Clothes Shirt & Tie (Purple)"
"UK3CB_CHC_I_U_CIT_01","Casual Clothes Jacket (Brown)"
"UK3CB_CHC_I_U_CIT_02","Casual Clothes Jacket (Light Brown)"
"UK3CB_CHC_I_U_CIT_03","Casual Clothes Jacket (Tan)"
"UK3CB_CHC_I_U_CIT_04","Casual Clothes Jacket (Dark Brown)"
"UK3CB_CHC_I_U_COACH_01","Casual Clothes Tracksuit (Blue)"
"UK3CB_CHC_I_U_COACH_02","Casual Clothes Tracksuit (Yellow)"
"UK3CB_CHC_I_U_COACH_03","Casual Clothes Tracksuit (Green)"
"UK3CB_CHC_I_U_COACH_04","Casual Clothes Tracksuit (Black)"
"UK3CB_CHC_I_U_COACH_05","Casual Clothes Tracksuit (Red)"
"UK3CB_CHC_I_U_DOC_01","Clothes Doctor Coat (White)"
"UK3CB_CHC_I_U_DOC_02","Clothes Doctor Coat (Navy)"
"UK3CB_CHC_I_U_DOC_03","Clothes Doctor Coat (Light Blue)"
"UK3CB_CHC_I_U_FUNC_01","Clothes Functionary Suit (Black)"
"UK3CB_CHC_I_U_FUNC_02","Clothes Functionary Suit (Brown)"
"UK3CB_CHC_I_U_HIKER_01","Casual Clothes Hiker (Red / Blue)"
"UK3CB_CHC_I_U_HIKER_02","Casual Clothes Hiker (Green / Red)"
"UK3CB_CHC_I_U_HIKER_03","Casual Clothes Hiker (Blue / Green)"
"UK3CB_CHC_I_U_HIKER_04","Casual Clothes Hiker (Flecktarn)"
"UK3CB_CHC_I_U_PRIEST_01","Clothes Priest Robe (Black)"
"UK3CB_CHC_I_U_PRIEST_02","Clothes Priest Robe (Red)"
"UK3CB_CHC_I_U_PRIEST_03","Clothes Priest Robe (Purple)"
"UK3CB_CHC_I_U_Overall_01","Clothes Overalls (Black)"
"UK3CB_CHC_I_U_Overall_02","Clothes Overalls (Blue)"
"UK3CB_CHC_I_U_Overall_03","Clothes Overalls (Tan)"
"UK3CB_CHC_I_U_Overall_04","Clothes Overalls (Red)"
"UK3CB_CHC_I_U_Overall_05","Clothes Overalls (Grey)"
"UK3CB_CHC_I_U_Pilot_01","Clothes Pilot [A3PowPot] (Blue)"
"UK3CB_CHC_I_U_Pilot_02","Clothes Pilot [A3PowPot] (Tan)"
"UK3CB_CHC_I_U_Pilot_03","Clothes Pilot [A3PowPot] (Black)"
"UK3CB_CHC_I_U_POLITIC_01","Clothes Politician Suit & Tie (Black / Blue)"
"UK3CB_CHC_I_U_POLITIC_02","Clothes Politician Suit & Tie (Black / Red)"
"UK3CB_CHC_I_U_POLITIC_03","Clothes Politician Suit & Tie (Black / Green)"
"UK3CB_CHC_I_U_PROF_01","Casual Suit Jacket (Grey)"
"UK3CB_CHC_I_U_PROF_02","Casual Suit Jacket (Navy)"
"UK3CB_CHC_I_U_PROF_03","Casual Suit Jacket (Brown)"
"UK3CB_CHC_I_U_PROF_04","Casual Suit Jacket (Brown Check)"
"UK3CB_CHC_I_U_VILL_01","Clothes Villager (Blue Check)"
"UK3CB_CHC_I_U_VILL_02","Clothes Villager (Yellow Check)"
"UK3CB_CHC_I_U_VILL_03","Clothes Villager (Green)"
"UK3CB_CHC_I_U_VILL_04","Clothes Villager (Light Blue)"
"UK3CB_CHC_I_U_WOOD_01","Clothes Woodlander (Brown / Blue)"
"UK3CB_CHC_I_U_WOOD_02","Clothes Woodlander (Green / Khaki)"
"UK3CB_CHC_I_U_WOOD_03","Clothes Woodlander (Tan / TTsKO)"
"UK3CB_CHC_I_U_WOOD_04","Clothes Woodlander (Black / Green)"
"UK3CB_CHC_I_U_WORK_01","Casual Clothes Waistcoat (Sand)"
"UK3CB_CHC_I_U_WORK_02","Casual Clothes Waistcoat (Green)"
"UK3CB_CHC_I_U_WORK_03","Casual Clothes Waistcoat (Blue)"
"UK3CB_CHC_I_U_WORK_04","Casual Clothes Waistcoat (Brown Check)"
"UK3CB_CHC_I_H_Can_Cap","Cap (Campaign Slogan)"
"UK3CB_CHC_O_U_ACTIVIST_01","Casual Clothes Jacket & Jumper (Cream)"
"UK3CB_CHC_O_U_ACTIVIST_02","Casual Clothes Jacket & Jumper (Red)"
"UK3CB_CHC_O_U_ACTIVIST_03","Casual Clothes Jacket & Jumper (Blue)"
"UK3CB_CHC_O_U_ACTIVIST_04","Casual Clothes Jacket & Jumper (Green)"
"UK3CB_CHC_O_U_BODYG_01","Clothes Bodyguard Suit (Black)"
"UK3CB_CHC_O_U_CAN_01","Casual Clothes Shirt & Tie (Purple)"
"UK3CB_CHC_O_U_CIT_01","Casual Clothes Jacket (Brown)"
"UK3CB_CHC_O_U_CIT_02","Casual Clothes Jacket (Light Brown)"
"UK3CB_CHC_O_U_CIT_03","Casual Clothes Jacket (Tan)"
"UK3CB_CHC_O_U_CIT_04","Casual Clothes Jacket (Dark Brown)"
"UK3CB_CHC_O_U_COACH_01","Casual Clothes Tracksuit (Blue)"
"UK3CB_CHC_O_U_COACH_02","Casual Clothes Tracksuit (Yellow)"
"UK3CB_CHC_O_U_COACH_03","Casual Clothes Tracksuit (Green)"
"UK3CB_CHC_O_U_COACH_04","Casual Clothes Tracksuit (Black)"
"UK3CB_CHC_O_U_COACH_05","Casual Clothes Tracksuit (Red)"
"UK3CB_CHC_O_U_DOC_01","Clothes Doctor Coat (White)"
"UK3CB_CHC_O_U_DOC_02","Clothes Doctor Coat (Navy)"
"UK3CB_CHC_O_U_DOC_03","Clothes Doctor Coat (Light Blue)"
"UK3CB_CHC_O_U_FUNC_01","Clothes Functionary Suit (Black)"
"UK3CB_CHC_O_U_FUNC_02","Clothes Functionary Suit (Brown)"
"UK3CB_CHC_O_U_HIKER_01","Casual Clothes Hiker (Red / Blue)"
"UK3CB_CHC_O_U_HIKER_02","Casual Clothes Hiker (Green / Red)"
"UK3CB_CHC_O_U_HIKER_03","Casual Clothes Hiker (Blue / Green)"
"UK3CB_CHC_O_U_HIKER_04","Casual Clothes Hiker (Flecktarn)"
"UK3CB_CHC_O_U_PRIEST_01","Clothes Priest Robe (Black)"
"UK3CB_CHC_O_U_PRIEST_02","Clothes Priest Robe (Red)"
"UK3CB_CHC_O_U_PRIEST_03","Clothes Priest Robe (Purple)"
"UK3CB_CHC_O_U_Overall_01","Clothes Overalls (Black)"
"UK3CB_CHC_O_U_Overall_02","Clothes Overalls (Blue)"
"UK3CB_CHC_O_U_Overall_03","Clothes Overalls (Tan)"
"UK3CB_CHC_O_U_Overall_04","Clothes Overalls (Red)"
"UK3CB_CHC_O_U_Overall_05","Clothes Overalls (Grey)"
"UK3CB_CHC_O_U_Pilot_01","Clothes Pilot [A3PowPot] (Blue)"
"UK3CB_CHC_O_U_Pilot_02","Clothes Pilot [A3PowPot] (Tan)"
"UK3CB_CHC_O_U_Pilot_03","Clothes Pilot [A3PowPot] (Black)"
"UK3CB_CHC_O_U_POLITIC_01","Clothes Politician Suit & Tie (Black / Blue)"
"UK3CB_CHC_O_U_POLITIC_02","Clothes Politician Suit & Tie (Black / Red)"
"UK3CB_CHC_O_U_POLITIC_03","Clothes Politician Suit & Tie (Black / Green)"
"UK3CB_CHC_O_U_PROF_01","Casual Suit Jacket (Grey)"
"UK3CB_CHC_O_U_PROF_02","Casual Suit Jacket (Navy)"
"UK3CB_CHC_O_U_PROF_03","Casual Suit Jacket (Brown)"
"UK3CB_CHC_O_U_PROF_04","Casual Suit Jacket (Brown Check)"
"UK3CB_CHC_O_U_VILL_01","Clothes Villager (Blue Check)"
"UK3CB_CHC_O_U_VILL_02","Clothes Villager (Yellow Check)"
"UK3CB_CHC_O_U_VILL_03","Clothes Villager (Green)"
"UK3CB_CHC_O_U_VILL_04","Clothes Villager (Light Blue)"
"UK3CB_CHC_O_U_WOOD_01","Clothes Woodlander (Brown / Blue)"
"UK3CB_CHC_O_U_WOOD_02","Clothes Woodlander (Green / Khaki)"
"UK3CB_CHC_O_U_WOOD_03","Clothes Woodlander (Tan / TTsKO)"
"UK3CB_CHC_O_U_WOOD_04","Clothes Woodlander (Black / Green)"
"UK3CB_CHC_O_U_WORK_01","Casual Clothes Waistcoat (Sand)"
"UK3CB_CHC_O_U_WORK_02","Casual Clothes Waistcoat (Green)"
"UK3CB_CHC_O_U_WORK_03","Casual Clothes Waistcoat (Blue)"
"UK3CB_CHC_O_U_WORK_04","Casual Clothes Waistcoat (Brown Check)"
"UK3CB_CHC_O_H_Can_Cap","Cap (Campaign Slogan)"
"UK3CB_CPD_B_U_Policeman_01","Police Uniform [CPD]"
"UK3CB_CPD_B_U_CombatUniform_01_Grey","M88 [CPD] (Grey)"
"UK3CB_CPD_B_U_CombatUniform_01_Urban","M88 [CPD] (Urban)"
"UK3CB_CPD_B_H_Beret","Beret Police [CPD] (Black)"
"UK3CB_CPD_B_H_Police_Cap","Cap Police [CPD] (Black)"
"UK3CB_CPD_B_V_6b23_ml_BLU","6b23 Vest Police Blue"
"UK3CB_CPD_B_V_6b23_ml_BLU_02","6b23 Vest Police Orel"
"UK3CB_CPD_I_U_Policeman_01","Police Uniform [CPD]"
"UK3CB_CPD_I_U_CombatUniform_01_Grey","M88 [CPD] (Grey)"
"UK3CB_CPD_I_U_CombatUniform_01_Urban","M88 [CPD] (Urban)"
"UK3CB_CPD_I_H_Beret","Beret Police [CPD] (Black)"
"UK3CB_CPD_I_H_Police_Cap","Cap Police [CPD] (Black)"
"UK3CB_CPD_I_V_6b23_ml_BLU","6b23 Vest Police Blue"
"UK3CB_CPD_I_V_6b23_ml_BLU_02","6b23 Vest Police Orel"
"UK3CB_CPD_O_U_Policeman_01","Police Uniform [CPD]"
"UK3CB_CPD_O_U_CombatUniform_01_Grey","M88 [CPD] (Grey)"
"UK3CB_CPD_O_U_CombatUniform_01_Urban","M88 [CPD] (Urban)"
"UK3CB_CPD_O_H_Beret","Beret Police [CPD] (Black)"
"UK3CB_CPD_O_H_Police_Cap","Cap Police [CPD] (Black)"
"UK3CB_CPD_O_V_6b23_ml_BLU","6b23 Vest Police Blue"
"UK3CB_CPD_O_V_6b23_ml_BLU_02","6b23 Vest Police Orel"
"UK3CB_CW_SOV_O_Early_U_CombatUniform_01_KHK","M88 MSV [SOV Early] (Khaki) A"
"UK3CB_CW_SOV_O_Early_U_CombatUniform_02_KHK","M88 MSV [SOV Early] (Khaki) B"
"UK3CB_CW_SOV_O_Early_U_CombatUniform_03_KHK","M88 MSV [SOV Early] (Khaki) C"
"UK3CB_CW_SOV_O_Early_U_JNR_OFFICER_Uniform_01_KHK","M88 MSV Junior Officer [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_Early_U_OFFICER_Uniform_01_KHK","M88 MSV Officer [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_Early_U_Crew_Uniform_01_KHK","M88 Crew [SOV Early] (Khaki) A"
"UK3CB_CW_SOV_O_Early_U_Crew_Uniform_02_KHK","M88 Crew [SOV Early] (Khaki) B"
"UK3CB_CW_SOV_O_Early_U_Crew_Uniform_03_KHK","M88 Crew [SOV Early] (Khaki) C"
"UK3CB_CW_SOV_O_Early_U_Tank_Crew_Uniform_01_BLK","M88 Tank Crew [SOV Early] (Black) A"
"UK3CB_CW_SOV_O_Early_U_Tank_Crew_Uniform_02_BLK","M88 Tank Crew [SOV Early] (Black) B"
"UK3CB_CW_SOV_O_Early_U_Tank_Crew_Uniform_03_BLK","M88 Tank Crew [SOV Early] (Black) C"
"UK3CB_CW_SOV_O_Early_U_VDV_CombatUniform_01_KLMK","VDV Coverall Suit [SOV Early] (KLMK) A"
"UK3CB_CW_SOV_O_Early_U_VDV_Crew_Uniform_01_KLMK","VDV Coverall Suit [SOV Early] (KLMK) B"
"UK3CB_CW_SOV_O_Early_U_H_Pilot_Uniform_01_KHK","Heli Pilot Coveralls [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_Early_U_J_Pilot_Uniform_01_GRY","Jet Pilot Coveralls [SOV Early] (Grey)"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_01_KLMK","Spetsnaz Coveralls [SOV Early] (KLMK) A"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_02_KLMK","Spetsnaz Coveralls [SOV Early] (KLMK) B"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_01_KHK","Spetsnaz Coveralls [SOV Early] (Khaki) A"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_02_KHK","Spetsnaz Coveralls [SOV Early] (Khaki) B"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_01_Ghillie_KLMK","Ghillie Suit [SOV Early] (KLMK) A"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_02_Ghillie_KLMK","Ghillie Suit [SOV Early] (KLMK) B"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_01_Ghillie_KHK","Ghillie Suit [SOV Early] (Khaki) A"
"UK3CB_CW_SOV_O_Early_U_Spetsnaz_Uniform_02_Ghillie_KHK","Ghillie Suit [SOV Early] (Khaki) B"
"UK3CB_CW_SOV_O_Early_U_Sniper_Uniform_01_Ghillie_Top_KLMK","Half Ghillie Suit [SOV Early] (KLMK)"
"UK3CB_CW_SOV_O_Early_U_Sniper_Uniform_01_Ghillie_Top_KHK","Half Ghillie Suit [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_EARLY_H_Officer_Cap","Cap Officer [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_EARLY_H_SSh68","SSh68 Helmet"
"UK3CB_CW_SOV_O_EARLY_H_FieldCap_KHK","Field Cap [SOV Early] (Khaki)"
"UK3CB_CW_SOV_O_Late_U_CombatUniform_01_KHK","M88 MSV [SOV Late] (Khaki) A"
"UK3CB_CW_SOV_O_Late_U_CombatUniform_02_KHK","M88 MSV [SOV Late] (Khaki) B"
"UK3CB_CW_SOV_O_Late_U_CombatUniform_03_KHK","M88 MSV [SOV Late] (Khaki) C"
"UK3CB_CW_SOV_O_Late_U_JNR_OFFICER_Uniform_01_KHK","M88 MSV Junior Officer [SOV Late] (Khaki) A"
"UK3CB_CW_SOV_O_Late_U_JNR_OFFICER_Uniform_02_KHK","M88 MSV Junior Officer [SOV Late] (Khaki) B"
"UK3CB_CW_SOV_O_Late_U_OFFICER_Uniform_01_KHK","M88 MSV Officer [SOV Late] (Khaki) A"
"UK3CB_CW_SOV_O_Late_U_OFFICER_Uniform_02_KHK","M88 MSV Officer [SOV Late] (Khaki) B"
"UK3CB_CW_SOV_O_Late_U_VDV_CombatUniform_01_TTSKO","M88 VDV [SOV Late] (TTsKO) A"
"UK3CB_CW_SOV_O_Late_U_VDV_CombatUniform_02_TTSKO","M88 VDV [SOV Late] (TTsKO) B"
"UK3CB_CW_SOV_O_Late_U_VDV_CombatUniform_03_TTSKO","M88 VDV [SOV Late] (TTsKO) C"
"UK3CB_CW_SOV_O_LATE_U_H_Pilot_Uniform_01_TTSKO","Heli Pilot Coveralls [SOV Late] (TTsKO)"
"UK3CB_CW_SOV_O_LATE_U_Crew_Uniform_01_TTSKO","M88 Crew [SOV Late] (TTsKO)"
"UK3CB_CW_SOV_O_LATE_U_VDV_Crew_Uniform_01_TTSKO","M88 VDV Crew [SOV Late] (TTsKO)"
"UK3CB_CW_SOV_O_LATE_U_J_Pilot_Uniform_01_OLI","Jet Pilot Coveralls [SOV Late] (Olive)"
"UK3CB_CW_SOV_O_Late_U_Spetsnaz_Uniform_Gorka_01_KLMK","Gorka-R [SOV Late] (KLMK Summer)"
"UK3CB_CW_SOV_O_Late_U_VDV_Spetsnaz_Uniform_Gorka_02_KLMK","Gorka-R [SOV Late] (KLMK)"
"UK3CB_CW_SOV_O_Late_U_CombatUniform_Ghillie_01_KLMK","Ghillie Suit [SOV Late] (KLMK Summer)"
"UK3CB_CW_SOV_O_Late_U_CombatUniform_Ghillie_02_KLMK","Ghillie Suit [SOV Late] (KLMK)"
"UK3CB_CW_SOV_O_LATE_H_Officer_Cap","Cap Officer [SOV Late] (Khaki)"
"UK3CB_CW_SOV_O_LATE_H_SSh68","SSh68 Helmet"
"UK3CB_CW_US_B_Early_U_CombatUniform_01_OLI","M93 [US Early] (Olive Drab) A"
"UK3CB_CW_US_B_Early_U_CombatUniform_02_OLI","M93 [US Early] (Olive Drab) B"
"UK3CB_CW_US_B_Early_U_CombatUniform_03_OLI","M93 [US Early] (Olive Drab) C"
"UK3CB_CW_US_B_Early_U_JNR_OFFICER_Uniform_01_OLI","M93 Junior Officer [US Early] (Olive Drab)"
"UK3CB_CW_US_B_Early_U_OFFICER_Uniform_01_OLI","M93 Officer [US Early] (Olive Drab)"
"UK3CB_CW_US_B_Early_U_H_Pilot_Uniform_01_OLI","Heli Pilot Coveralls [US Early] (Green)"
"UK3CB_CW_US_B_Early_U_H_Pilot_Uniform_02_OLI","Heli Crew Coveralls [US Early] (Light Olive)"
"UK3CB_CW_US_B_Early_U_J_Pilot_Uniform_01_NATO","Jet Pilot Coveralls [US Early] (NATO)"
"UK3CB_CW_US_B_Early_U_SF_CombatUniform_01_ERDL","M93 [US Early] (ERDL Brown)"
"UK3CB_CW_US_B_Early_U_SF_CombatUniform_02_ERDL","M93 [US Early] (ERDL Green)"
"UK3CB_CW_US_B_Early_U_SF_CombatUniform_03_ERDL_OLI","M93 [US Early] (ERDL Brown / Olive)"
"UK3CB_CW_US_B_Early_U_SF_CombatUniform_04_ERDL_OLI","M93 [US Early] (ERDL Green / Olive)"
"UK3CB_CW_US_B_Early_U_CombatUniform_Ghillie_01_ERDL","Ghillie Suit [US Early] (ERDL Brown)"
"UK3CB_CW_US_B_Early_U_CombatUniform_Ghillie_02_ERDL","Ghillie Suit [US Early] (ERDL Green)"
"UK3CB_CW_US_B_EARLY_H_M1951_OFF","Patrol Cap Officer (OG-107)"
"UK3CB_CW_US_B_EARLY_H_M1951_JNR_OFF","Patrol Cap Junior Officer (OG-107)"
"UK3CB_CW_US_B_EARLY_H_BoonieHat_ERDL_01","Boonie Hat (ERDL Brown)"
"UK3CB_CW_US_B_EARLY_H_BoonieHat_ERDL_02","Boonie Hat (ERDL Green)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_01_WNLF","M1 Helmet Covered (Wine Leaf)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_WNLF","M1 Helmet Covered (Wine Leaf Alt)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_01_ERDL","M1 Helmet Covered (ERDL Green)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_ERDL","M1 Helmet Covered (ERDL Green Alt)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_03_ERDL","M1 Helmet Covered (ERDL Brown)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_04_ERDL","M1 Helmet Covered (ERDL Brown Alt)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_WNLF_01","M1 Helmet Covered 02 (Wine Leaf)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_WNLF_02","M1 Helmet Covered 02 (Wine Leaf Alt)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_ERDL_01","M1 Helmet Covered 02 (ERDL Green)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_ERDL_02","M1 Helmet Covered 02 (ERDL Green Alt)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_ERDL_03","M1 Helmet Covered 02 (ERDL Brown)"
"UK3CB_CW_US_B_EARLY_H_M1_Helmet_Covered_02_ERDL_04","M1 Helmet Covered 02 (ERDL Brown Alt)"
"UK3CB_CW_US_B_LATE_U_CombatUniform_01_WDL","M93 [US Late] (Woodland) A"
"UK3CB_CW_US_B_LATE_U_CombatUniform_02_WDL","M93 [US Late] (Woodland) B"
"UK3CB_CW_US_B_LATE_U_CombatUniform_03_WDL","M93 [US Late] (Woodland) C"
"UK3CB_CW_US_B_LATE_U_CombatUniform_04_WDL","M93 [US Late] (Woodland) D"
"UK3CB_CW_US_B_LATE_U_JNR_OFFICER_Uniform_01_WDL","M93 Junior Officer [US Late] (Woodland)"
"UK3CB_CW_US_B_LATE_U_OFFICER_Uniform_01_WDL","M93 Officer [US Late] (Woodland)"
"UK3CB_CW_US_B_LATE_U_H_Pilot_Uniform_01_NATO","Heli Pilot Coveralls [US Late] (NATO)"
"UK3CB_CW_US_B_LATE_U_J_Pilot_Uniform_01_NATO","Jet Pilot Coveralls [US Late] (NATO)"
"UK3CB_CW_US_B_LATE_U_SF_CombatUniform_01_BLK","Combat Uniform [US Late] (Black) A"
"UK3CB_CW_US_B_LATE_U_SF_CombatUniform_02_BLK","Combat Uniform [US Late] (Black) B"
"UK3CB_CW_US_B_LATE_U_CombatUniform_Ghillie_01_WDL","Ghillie Suit [US Late] (Woodland) A"
"UK3CB_CW_US_B_LATE_U_CombatUniform_Ghillie_02_WDL","Ghillie Suit [US Late] (Woodland) B"
"UK3CB_CW_US_B_LATE_H_BoonieHat_WDL_01","Boonie Hat (Woodland) A"
"UK3CB_CW_US_B_LATE_H_BoonieHat_WDL_02","Boonie Hat (Woodland) B"
"UK3CB_CW_US_B_LATE_H_PASGT_01_WDL","PASGT (Woodland)"
"UK3CB_CW_US_B_LATE_H_PASGT_RHINO_01_WDL","PASGT (Woodland, Rhino)"
"UK3CB_CW_US_B_LATE_H_PASGT_02_WDL","PASGT (Woodland Alt)"
"UK3CB_CW_US_B_LATE_H_PASGT_RHINO_02_WDL","PASGT (Woodland Alt, Rhino)"
"UK3CB_CW_US_B_LATE_H_Patrol_Cap_WDL_01","Patrol Cap [US Late] (Woodland)"
"UK3CB_CW_US_B_LATE_H_JNR_OFF_Patrol_Cap_WDL_01","Patrol Cap Junior Officer [US Late] (Woodland)"
"UK3CB_CW_US_B_LATE_H_OFF_Patrol_Cap_WDL_01","Patrol Cap Officer [US Late] (Woodland)"
"UK3CB_CW_US_B_LATE_V_PASGT_Rif_Vest","PASGT Rifleman Vest [US Late] (Woodland)"
